Index,Disease,Symptom,Treatment,Category
12,Grape Esca (Black Measles),"Esca, Botryosphaeria dieback, Eutypa dieback, and Phomopsis dieback make up a complex of ""trunk diseases"" caused by different wood-infecting fungi. The foliar symptom of Esca is an interveinal ""striping"". The ""stripes"", which start out as dark red in red cultivars and yellow in white cultivars, dry and become necrotic. Foliar symptoms may occur at any time during the growing season, but are most prevalent during July and August. They are often restricted to an individual shoot or to shoots originating from the same spur or cane. Symptomatic leaves can dry completely and drop prematurely. On berries, small, round, dark spots each bordered by a brown-purple ring, may occur. These fruit spots, which are better viewed on white cultivars, may appear at any time between fruit set and ripening. In severely affected vines, the berries often crack and dry or are subject to spoilage.","Presently, there are no effective management strategies for measles. Wine grape growers with small vineyards will often have field crews remove infected fruit prior to harvest. Raisins affected by measles will be discarded during harvest or at the packing house, while table grape growers will leave affected fruit on the vine. Current research is focused on protecting pruning wounds from fungal infections to minimize suspect fungi from colonizing fresh wounds.",Grape
13,Grape Leaf Blight (Isariopsis Leaf Spot),On leaf surface we will see lesions which are irregularly shaped (2 to 25 mm in diameter). Initially lesions are dull red to brown in color turn black later. If disease is severe this lesions may coalesce. On berries we can see symptom similar to black rot but the entire clusters will collapse.,"Spray baking soda solution (a tablespoon of baking soda, 2 1/2 tablespoons of vegetable oil, a teaspoon of liquid soap, not detergent, to one gallon of water), or neem oil (do not use when pollinating insects including bees or other beneficial insects are present).",Grape
14,Healthy Grape,Normal,Nothing,Grape
15,Orange Haunglongbing (Citrus Greening),"HLB is distinguished by the common symptoms of yellowing of the veins and adjacent tissues; followed by splotchy mottling of the entire leaf, premature defoliation, dieback of twigs, decay of feeder rootlets and lateral roots, and decline in vigor, ultimately followed by the death of the entire plant. Affected trees have stunted growth, bear multiple off-season flowers (most of which fall off), and produce small, irregularly shaped fruit with a thick, pale peel that remains green at the bottom and tastes very bitter. Common symptoms can often be mistaken for nutrient deficiencies; however, the distinguishing factor between nutrient deficiencies is the pattern of symmetry. Nutrient deficiencies tend to be symmetrical along the leaf vein margin, while HLB has an asymmetrical yellowing around the vein. The most noticeable symptom of HLB is greening and stunting of the fruit, especially after ripening.","Some cultural practices can be effective in monitoring this disease. Cultural methods include antibacterial management, sanitation, removal of infected plants, frequent scouting, and most importantly, crisis declaration. Tracking the disease will help prevent further infection in other affected areas and help mitigate more local infections if detected early enough. The Asian citrus psyllid has alternative hosts that may attract psyllids to citrus plants in the vicinity such as Murraya paniculata, Severinia buxifolia, and other plants in the family Rutaceae.",Orange
16,Peach Bacterial Spot,"Numerous small spots form on the leaves. The spots are angular, purple to purplish-brown or black. Spots may merge and the centers may fall out, giving the characteristic “shothole” appearance. Heavily infected leaves turn yellow and drop. Severe leaf loss early in the summer reduces fruit size and weakens the tree. A few lesions can result in severe defoliation on sensitive varieties; tolerant varieties may require many more lesions for defoliation.","Bacterial spot is very diffi cult to control during rainy seasons. No entirely satisfactory control method is known. Homeowners are particularly limited as to chemicals available to them for bacterial spot control. Proper cultural practices are important in minimizing this disease.
1. Resistance to bacterial spot should be a primary consideration in peach varietal selection. Some of the more resistant varieties include Bell of Georgia, Biscoe, Harken, Loring, Madison, Ranger, Redhaven, Redskin and Sunhaven. Very susceptible varieties include Elberta, July Elberta, Halehaven, Rio-Oso-Gem and Sunhigh.
2. Vigorous trees are less susceptible to the disease than weak, neglected trees. Fertilize according to a soil test, to maintain vigorous, but not excessive, shoot growth.
3. Allow for good air circulation by avoiding low-lying orchard sites and by adhering to correct pruning practices. Prune during dry weather in the latter part of the dormant season.",Peach
17,Healthy Peach,Normal,Nothing,Peach
18,Pepper Bell Bacterial Spot,"Symptoms begin as small, yellow-green lesions on young leaves which usually appear deformed and twisted, or as dark, water soaked, greasy-appearing lesions on older foliage. Lesions develop rapidly to a size of 0.25 to 0.5 cm (0.1 to 0.2 in.) wide and become tan to brownish-red. Lesion shape is defined by leaf veinlets, so the shape is angular rather than the round shape that is more typical of fungal leaf spots or injury caused by some pesticides or other chemical sprays.

Lesions often are more numerous at the tip and margin of the leaf where moisture such as dew is retained. Under dry conditions, diseased leaves can develop a tattered appearance as the leaf margin and lesion centers become necrotic, dry up and disintegrate. Lesion size is often larger and symptoms are more severe when extended periods (> 12 hours) of moisture-saturated tissue occur.","Select resistant varieties
Purchase disease-free seed and transplants.
Treat seeds by soaking them for 2 minutes in a 10% chlorine bleach solution (1 part bleach; 9 parts water). Thoroughly rinse seeds and dry them before planting.
Mulch plants deeply with a thick organic material like newspaper covered with straw or grass clippings.
Avoid overhead watering.
Remove and discard badly infected plant parts and all debris at the end of the season.
Spray every 10-14 days with fixed copper (organic fungicide) to slow down the spread of infection.
Rotate peppers to a different location if infections are severe and cover the soil with black plastic mulch or black landscape fabric prior to planting.",Pepper Bell
19,Healthy Pepper Bell,Normal,Nothing,Pepper Bell
20,Potato Early Blight,"The first symptoms of early blight appear as small, circular or irregular, dark-brown to black spots on the older (lower). These spots enlarge up to 3/8 inch in diameter and gradually may become angular-shaped. Initial lesions on young, fully expanded leaves may be confused with brown spot lesions. These first lesions appear about two to three days after infection, with further sporulation on the surface of these lesions occurring three to five days later.","Select a late-season variety with a lower susceptibility to early blight. (Resistance is associated with plant maturity and early maturing cultivars are more susceptible).
Time irrigation to minimize leaf wetness duration during cloudy weather and allow sufficient time for leaves to dry prior to nightfall.
Avoid nitrogen and phosphorus deficiency.
Scout fields regularly for infection beginning after plants reach 12 inches in height. Pay particular attention to edges of fields that are adjacent to fields planted to potato the previous year.",Potato
21,Potato Late Blight,"The first symptoms of late blight in the field are small, light to dark green, circular to irregular-shaped water-soaked spots. These lesions usually appear first on the lower leaves. Lesions often begin to develop near the leaf tips or edges, where dew is retained the longest. During cool, moist weather, these lesions expand rapidly into large, dark brown or black lesions, often appearing greasy (Figure 2). Leaf lesions also frequently are surrounded by a yellow chlorotic halo.","Destroy all cull and volunteer potatoes.
Plant late blight-free seed tubers.
Do not mix seed lots because cutting can transmit late blight.
Use a seed piece fungicide treatment labeled for control of late blight (current list of fungicides can be found in the NDSU “Fungicide Guide,” PP622). Recommended seed treatments include Revus, Reason and mancozeb.
Avoid planting problem areas that may remain wet for extended periods or may be difficult to spray (the center of the pivot, along powerlines and tree lines).
Avoid excessive and/or nighttime irrigation.
Eliminate sources of inoculum such as hairy nightshade weed species and volunteer potatoes.
Scout fields regularly, especially in low, wet areas, along tree lines, at the center of the pivot and other areas that remain wet for longer periods where late blight first may occur.
Use foliar fungicides on a regular and continuing schedule. Once late blight is present, only foliar fungicide applications can manage late blight in the field. (A current list of fungicides can be found in the NDSU “Fungicide Guide,” PP622).",Potato
22,Healthy Potato,Normal,Nothing,Potato
23,Healthy Raspberry,Normal,Nothing,Raspberry
24,Healthy Soybean,Normal,Nothing,Soybean
25,Squash Powdery Mildew,"The first sign of powdery mildew is pale yellow leaf spots.
White powdery spots can form on both upper and lower leaf surfaces, and quickly expand into large blotches. The large blotches can cover entire leaf, petiole and stem surfaces.
When powdery mildew infects the majority of the foliage, the plant weakens and the fruit ripens prematurely.","Plant varieties with complete or partial resistance to powdery mildew.
Apply fertilizer based on soil test results. Avoid over-applying nitrogen.
Provide good air movement around plants through proper spacing, staking of plants and weed control.
Once a week, examine five mature leaves for powdery mildew infection. In large plantings, repeat at 10 different locations in the field.
If susceptible varieties are growing in an area where powdery mildew has resulted in yield loss in the past, fungicide may be necessary.
Apply fungicides after finding the first spot of powdery mildew.
Home gardeners can apply sulfur products to both the upper and lower surface of the leaves.",Squash
26,Strawberry Leaf Scorch,"Leaf scorch is caused by the fungus Diplocarpon earliana. Symptoms of leaf scorch consist of numerous small, irregular, purplish spots or “blotches” that develop on the upper surface of leaves. The centers of the blotches become brownish. Blotches may coalesce until they nearly cover the leaflet, which then appears purplish to reddish to brown.

The fungus overwinters on infected leaves. The fungus produces spore forming structures in the spring on both surfaces of dead leaves. These structures produce spores abundantly in midsummer. In the presence of free water, these spores can germinate and infect the plant within 24 hours. Older and middle-aged leaves are infected more easily than young ones.","Remove the older and infected leaves from runner plants before setting.
Take care in spacing runner plants in matted-row culture.
Plant in light, well-drained soil in a location exposed to all-day sun and good air circulation.
Control weeds in the planting. Weeds reduce air circulation and increase drying time for leaves. (Leaves stay wet longer in weedy plantings.)
Removing infected leaves after harvest (during renovation) is helpful in reducing inoculum and controlling all the leaf diseases.",Strawberry
27,Healthy Strawberry ,,,Strawberry
28,Tomato Bacterial Spot,"Bacterial spot can affect all above ground parts of a tomato plant, including the leaves, stems, and fruit.  Bacterial spot appears on leaves as small (less than ⅛ inch), sometimes water-soaked (i.e., wet-looking) circular areas.  Spots may initially be yellow-green, but darken to brownish-red as they age.  When the disease is severe, extensive leaf yellowing and leaf loss can also occur.  On green fruit, spots are typically small, raised and blister-like, and may have a yellowish halo.  As fruit mature, the spots enlarge (reaching a maximum size of ¼ inch) and turn brown, scabby and rough.  Mature spots may be raised, or sunken with raised edges.  Bacterial spot symptoms can be easily confused with symptoms of another tomato disease called bacterial speck.","Plant pathogen-free seed or transplants to prevent the introduction of bacterial spot pathogens on contaminated seed or seedlings.  If a clean seed source is not available or you suspect that your seed is contaminated, soak seeds in water at 122°F for 25 min. to kill the pathogens.  To keep leaves dry and to prevent the spread of the pathogens, avoid overhead watering (e.g., with a wand or sprinkler) of established plants and instead use a drip-tape or soaker-hose.  Also to prevent spread, DO NOT handle plants when they are wet (e.g., from dew) and routinely sterilize tools with either 10% bleach solution or (better) 70% alcohol (e.g., rubbing alcohol).  Where bacterial spot has been a recurring problem, consider using preventative applications of copper-based products registered for use on tomato, especially during warm, wet periods.  Keep in mind however, that if used excessively or for prolonged periods, copper may no longer control the disease.",Tomato
29,Tomato Early Blight,"Leaves
Initially, small dark spots form on older foliage near the ground.
Leaf spots are round, brown and can grow up to half inch in diameter.
Larger spots have target-like concentric rings. The tissue around spots often turns yellow.
Severely infected leaves turn brown and fall off, or dead, dried leaves may cling to the stem.
Stem
Early blight stem infection
Seedling stems are infected at or just above the soil line. The stem turns brown, sunken and dry (collar rot).
If the infection girdles the stem, the seedling wilts and dies.
Stem infections on older plants are oval to irregular, dry brown areas with dark brown concentric rings.
Fruit
Fruit can be infected at any stage of maturity.
Fruit spots are leathery and black, with raised concentric ridges. They generally occur near the stem.
Infected fruit may drop from the plant.
","Use pathogen-free seed, or collect seed only from disease-free plants.
Rotate out of tomatoes and related crops for at least two years.
Control susceptible weeds such as black nightshade and hairy nightshade, and volunteer tomato plants throughout the rotation.
Fertilize properly to maintain vigorous plant growth. Particularly, do not over-fertilize with potassium and maintain adequate levels of both nitrogen and phosphorus.
Avoid working in plants when they are wet from rain, irrigation, or dew.
Use drip irrigation instead of overhead irrigation to keep foliage dry.
Stake the plants to increase airflow around the plant and facilitate drying. Staking will also reduce contact between the leaves and spore-contaminated soil.
Apply plastic or organic mulch to reduce humidity and provide a barrier between contaminated soil and leaves.",Tomato
30,Tomato Late Blight,"Leaves have large, dark brown blotches with a green-grey edge; not confined by major leaf veins.
Infections progress through leaflets and petioles, resulting in large sections of dry brown foliage.
Stem infections are firm and dark brown with a rounded edge.
Firm, dark brown, circular spots grow to cover large parts of fruits. Spots may become mushy as secondary bacteria invade.
In high humidity, thin powdery white fungal growth appears on infected leaves, fruit and stems.","Destroy potato cull piles before the growing season begins by burying them, spreading and incorporating them into fields, or feeding them to animals.
Control volunteer potato plants, as infected plants can grow from infected tubers.
Seed infection is unlikely on commercially prepared tomato seed or on saved seed that has been thoroughly dried.
Inspect tomato transplants for late blight symptoms prior to purchase and/or planting, as tomato transplants shipped from southern regions may be infected.
If infection is found in only a few plants within a field, infected plants should be removed, disced-under, killed with herbicide or flame-killed to avoid spreading through the entire field.",Tomato
31,Tomato Leaf Mold,"The oldest leaves are infected first.
Pale greenish-yellow spots, usually less than 1/4 inch, with no definite margins, form on upper sides of leaves.
Olive-green to brown velvety mold forms on the lower leaf surface below leaf spots.

Olive green to brown velvety sporulation on the lower leaf surface
Leaf spots grow together and turn brown. Leaves wither and die but often remain attached to the plant.

Leaf death caused by severe leaf mold infection
Infected blossoms turn black and fall off.
Fruit infections start as a smooth black irregular area on the stem end of the fruit. As the disease progresses, the infected area becomes sunken, dry and leathery.","Although varieties designated as resistant to leaf mold can be found in many seed catalogs, these may or may not be effective in reducing disease in Minnesota.
Resistant varieties should be used in combination with cultural control practices as part of an integrated disease management program.
There are currently 12 known races of P. fulva.
Each resistant cultivar protects against only one to a few races.
It is currently unknown which races of P. fulva exist in the United States of America. Therefore it is unknown which varieties will effectively reduce disease.
The population of P. fulva on a farm can change if new races emerge or are introduced from another area.
Growers with a history of leaf mold are encouraged to try resistant varieties on a small scale to determine their efficacy at the location.",Tomato
32,Tomato Septoria Leaf Spot,"Septoria leaf spot usually appears on the lower leaves after the first fruit sets. Spots are circular, about 1/16 to 1/4 inch in diameter with dark brown margins and tan to gray centers with small black fruiting structures. Characteristically, there are many spots per leaf. This disease spreads upwards from oldest to youngest growth. If leaf lesions are numerous, the leaves turn slightly yellow, then brown, and then wither. Fruit infection is rare.","1. Remove diseased leaves. If caught early, the lower infected leaves can be removed and burned or destroyed. However, removing leaves above where fruit has formed will weaken the plant and expose fruit to sunscald. At the end of the season, collect all foliage from infected plants and dispose of or bury. Do not compost diseased plants.

2. Improve air circulation around the plants. If the plants can still be handled without breaking them, stake or cage the plants to raise them off the ground and promote faster drying of the foliage.

3. Mulch around the base of the plants. Mulching will reduce splashing soil, which may contain fungal spores associated with debris. Apply mulch after the soil has warmed.

4. Do not use overhead watering. Overhead watering facilitates infection and spreads the disease. Use a soaker hose at the base of the plant to keep the foliage dry. Water early in the day.

5. Control weeds. Nightshade and horsenettle are frequently hosts of Septoria leaf spot and should be eradicated around the garden site.",Tomato
33,Tomato Spider Mites Two-spotted Spider Mite,"Generally, mites feed on the undersides of leaves. They use their sucking mouthparts to remove sap from plants, giving the upper leaf surface a speckled or mottled appearance. Leaves of mite-infested plants may turn yellow and dry up, and plants may lose vigor and die when infestations are severe. The undersides of affected leaves appear tan or yellow and have a crusty texture. Heavy infestations of the two‑spotted spider mite produce fine webbing that may cover the entire plant. Mites are identified by shaking symptomatic leaves onto a sheet of white paper or by observing infected leaf areas with a hand lens. In hot dry weather, mites can cause plants to drop leaves in a few weeks.","Natural enemies of mites are present in and around fields and can keep mite populations low. Many insecticides used for control of insect pests severely reduce numbers of beneficial insects that keep mite populations in check. Therefore, apply insecticides only as‑needed, rather than at regularly scheduled intervals. When possible, select pesticides which will have the least impact on beneficial insects. Destruction of weeds adjacent to and in fields is done in the fall or early spring. Growers should manage weeds around fields carefully during the season. Grass must be mowed regularly. Spraying or mowing of weeds after growth has become rank may increase the movement of mites to cultivated plants. ",Tomato
34,Tomato Target Spot,"The fruit displays circular spots with concentric, target-like rings and a velvety black, fungal lesions in the center. The “targets” become pitted and larger as the tomato matures.","Remove old plant debris at the end of the growing season, otherwise, the spores will travel from debris to newly planted tomatoes in the following growing season, thus beginning the disease anew. Dispose of the debris properly and don’t place it on your compost pile unless you’re sure your compost gets hot enough to kill the spores.",Tomato
35,Tomato Yellow Leaf Curl Virus,"Leaves of infected plants are small and curl upward; and show strong crumpling and interveinal and marginal yellowing. The internodes of infected plants become shortened and, together with the stunted growth, plants often take on a bushy appearance, which is sometimes referred to as 'bonsai' or broccoli'-like growth. Flowers formed on infected plants commonly do not develop and fall off (abscise). Fruit production is dramatically reduced, particularly when plants are infected at an early age, and it is not uncommon for losses of 100% to be experienced in fields with heavily infected plants.","Plant immediately after any tomato-free period or true winter season.
Avoid planting new fields near older fields (especially those with TYLCV-infected plants).
Cover plants with floating row covers of fine mesh (Agryl or Agribon) to protect from whitefly infestations.
Rogue diseased plants when incidence of virus infection is low.
Practice good weed management in and around fields to the extent feasible.  
Remove and destroy old crop residue and volunteers on a regional basis.
A voluntary or enforced regional host-free period in areas lacking a true winter season (i.e., temperatures low enough to prevent crop cultivation and whitefly survival) might be a useful management tool. The crops to be included in a region will depend on the agroecosystem.",Tomato
36,Tomato Mosaic Virus,"Mottled light and dark green on leaves.
Tobacco Mosaic virus symptoms on a tomato seedling
If plants are infected early, they may appear yellow and stunted overall.
Leaves may be curled, malformed, or reduced in size.
Spots of dead leaf tissue may become apparent with certain cultivars at warm temperatures.
Fruits may ripen unevenly.
Reduced fruit number and size.
Yellowish rings may form if fruit ripens in warm weather.
Fruits may show internal browning just under the skin (brownwall).","Resistant varieties
There are numerous tomato varieties that are resistant to one or the other of the viruses. These are usually denoted in seed catalogs, often with the code ToMV after the variety name if resistant to tomato mosaic virus and TMV if resistant to tobacco mosaic virus. There are only a few varieties that are resistant to both viruses.

Several popular rootstocks for grafted tomatoes can also confer resistance to varieties that may not normally be resistant.",Tomato
37,Healthy Tomato,Normal,Nothing,Tomato
